"city","year","region","num_obs","ch4co","ch4co_lower","ch4co_upper","ch4_full","ch4_full_lower","ch4_full_upper","ch4_sron","ch4_sron_lower","ch4_sron_upper"
"add",2023,"Africa",7,1.21340955591467,0.842966868908842,1.57564224179445,0.928859790948208,-1.00573190530532,2.98895273129979,0.923751436775892,0.580353299289719,1.33459389355555
"ahm",2019,"South & West Asia",23,0.955818413397913,0.825724616685743,1.10235578210523,0.388587066914455,-0.513275111878748,1.27074629342238,0.399991962067447,0.299460387759028,0.527693194937563
"ahm",2020,"South & West Asia",44,0.892353136622164,0.800953266673735,0.996524607533866,0.37776703848436,-0.503749126947738,1.32227366141787,0.385269180822795,0.286082005147267,0.49064513686065
"ahm",2021,"South & West Asia",56,0.961802279223965,0.880404020210129,1.04842179103433,0.39544753830289,-0.573579266908839,1.4064257461651,0.423122543076609,0.311061991890909,0.524495035414199
"ahm",2022,"South & West Asia",62,0.970122625524393,0.899563618439989,1.03936383040555,0.427024848473245,-0.547342482329154,1.42983477070677,0.429892846975056,0.322793777294918,0.538361115446025
"ahm",2023,"South & West Asia",69,1.04960925603336,0.977290101077944,1.13125574769472,0.480195287526467,-0.640008100974732,1.61937458646833,0.465055261893947,0.350903797975918,0.58599009256069
"amm",2020,"South & West Asia",6,0.900757590095754,0.703309465422819,1.1225746812631,0.0352546405470813,-0.033854968642673,0.107777462626359,0.0340170673829524,0.0227657756387054,0.0471538922083565
"amm",2021,"South & West Asia",10,1.03393849444434,0.85947805541503,1.1960190280056,0.0424255897674079,-0.0460964108270987,0.128733546774916,0.0430156273143394,0.0308927955746981,0.0559409186376624
"amm",2022,"South & West Asia",17,1.30429387126843,1.14267985332109,1.50153751987818,0.0551817343138624,-0.0567351181828742,0.166780082250843,0.0554201594107206,0.0404222141355792,0.0702547605580004
"amm",2023,"South & West Asia",23,1.19770643594857,1.05943280792934,1.35202659448032,0.0505350271803975,-0.0537084441843337,0.160477596259875,0.0504362819162348,0.0373416821114666,0.0628985262060274
"ams",2019,"Europe",8,1.252114092086,0.929009971011613,1.67756505233248,0.253974493290352,-0.0333686266093063,0.584110611325762,0.242358037557191,0.160102905883245,0.347893877146422
"ams",2020,"Europe",11,1.11855599637984,0.911860046880989,1.37064461692172,0.1987102934279,-0.0457006925492034,0.448542571483815,0.193054976737654,0.132834421483454,0.262213172563611
"ams",2021,"Europe",12,0.9798720013668,0.824813237815287,1.16792150322471,0.177752690832954,-0.0454300092876277,0.418187256895036,0.177588693417237,0.129819951131369,0.235451081085385
