"year","C40","n","mean","sd","lower","upper"
2019,1,51,18.510605224563,0.485781149176048,17.4922378757275,19.4607482395203
2020,1,51,18.0474428407705,0.489264528100528,17.1025742661526,19.0089091670157
2021,1,51,18.6489317862337,0.456381159387279,17.7516514466595,19.5151389108595
2022,1,51,19.2194177110237,0.47115413280629,18.2430934101862,20.0894581859025
2023,1,51,19.7610226687108,0.48871703650875,18.8149919245546,20.7523358057934
2019,0,21,5.4080308647891,0.233578385511869,4.97832233577734,5.85282984770251
2020,0,21,4.97408684057112,0.217251631613833,4.55135348375657,5.39831306623064
2021,0,21,5.1845172022387,0.209150401377486,4.77659179431968,5.59300462355232
2022,0,21,5.46598488858039,0.217636558045458,5.00398321278103,5.88545690369335
2023,0,21,5.57083833672438,0.255020491202904,5.08126949926472,6.09906997302107
