"year","n","mean","sd","lower","upper"
2019,72,23.9186360893521,0.528286471427687,22.8559759784479,24.905407008394
2020,72,23.0215296813417,0.531610064113492,21.9875678031756,24.0414982870921
2021,72,23.8334489884724,0.502180347876872,22.8328622041491,24.8116493434851
2022,72,24.6854025996041,0.523248783528276,23.5861358501637,25.6645188880719
2023,72,25.3318610054352,0.55028262722369,24.3117627358769,26.4368851632924
