"abi"
"acc"
"add"
"ahm"
"amm"
"ams"
"ath"
"auk"
"aus"
"bar"
"bei"
"ben"
"ber"
"bgk"
"bog"
"bos"
"bue"
"cdu"
"che"
"chi"
"cop"
"cpt"
"cur"
"dak"
"dar"
"dc"
"del"
"dha"
"dln"
"dub"
"dur"
"eku"
"fre"
"fuz"
"gua"
"gzh"
"han"
"hcm"
"hei"
"hk"
"hou"
"hzh"
"ist"
"jak"
"joh"
"kua"
"kar"
"kol"
"la"
"lag"
"lim"
"lis"
"lon"
"mad"
"med"
"mel"
"mex"
"mia"
"mil"
"mon"
"mum"
"nai"
"naj"
"nor"
"nyc"
"osl"
"par"
"phl"
"phx"
"por"
"qin"
"que"
"qui"
"rio"
"rom"
"rot"
"sal"
"san"
"sao"
"sea"
"seo"
"sf"
"shg"
"shz"
"sin"
"sto"
"syd"
"tel"
"tok"
"tor"
"tsh"
"van"
"war"
"wuh"
"yok"
"zhe"
"asu"
"atl"
"bag"
"bra"
"cai"
"cal"
"cho"
"dal"
"det"
"gyq"
"hyd"
"ind"
"kab"
"kan"
"kin"
"kyi"
"lah"
"las"
"lua"
"man"
"mos"
"mty"
"nag"
"osa"
"oua"
"pap"
"phn"
"riy"
"sdo"
"slc"
"sna"
"snd"
"teh"
"tia"
"tij"
"tpa"
"xia"
